gene_id,gene_name,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSG00010000000,TP53,99.01,0.1434,0.2388,5.483e-1,8.475e-1
ENSG00010000001,MYC,154.21,-0.4546,0.2241,4.248e-2,1.934e-1
ENSG00010000002,CD8A,124.49,0.2050,0.1837,2.644e-1,6.206e-1
ENSG00010000003,IL6,31.51,-0.0072,0.1647,9.651e-1,9.896e-1
ENSG00010000004,STAT1,246.30,-0.2605,0.2530,3.032e-1,6.660e-1
ENSG00010000005,FOXP3,6.18,0.1020,0.1900,5.914e-1,8.661e-1
ENSG00010000006,GAPDH,6.88,0.3635,0.2400,1.298e-1,4.206e-1
ENSG00010000007,ACTB,4.63,0.3442,0.1459,1.831e-2,1.005e-1
ENSG00010000008,VEGFA,1103.15,-0.5390,0.4113,1.901e-1,5.144e-1
ENSG00010000009,EGFR,17.49,1.8684,0.2127,1.000e-300,1.471e-299
ENSG00010000010,BRCA1,325.21,0.0214,0.1801,9.053e-1,9.732e-1
ENSG00010000011,CDKN1A,1739.26,0.0525,0.2340,8.223e-1,9.517e-1
ENSG00010000012,MKI67,26.59,0.0689,0.2097,7.424e-1,9.336e-1
ENSG00010000013,PTEN,445.48,-0.1354,0.2467,5.831e-1,8.618e-1
ENSG00010000014,KRAS,84.15,0.2726,0.1704,1.096e-1,3.785e-1
ENSG00010000015,JUN,2.80,-1.4054,0.1233,1.000e-300,1.471e-299
ENSG00010000016,FOS,1997.13,-0.1762,0.1813,3.310e-1,6.916e-1
ENSG00010000017,NFKB1,35.15,-0.1317,0.3089,6.697e-1,8.994e-1
ENSG00010000018,CCND1,1174.38,0.7128,0.2165,9.927e-4,7.335e-3
ENSG00010000019,BAX,2307.32,0.1531,0.3443,6.566e-1,8.910e-1
ENSG00010000020,BCL2,216.59,0.3523,0.2074,8.936e-2,3.365e-1
ENSG00010000021,SOD2,81.41,0.1007,0.2542,6.920e-1,9.101e-1
ENSG00010000022,HIF1A,1835.60,-0.4109,0.1584,9.495e-3,5.685e-2
ENSG00010000023,TNF,9.22,-0.0621,0.1307,6.344e-1,8.849e-1
ENSG00010000024,IFNG,1623.30,-0.4124,0.2509,1.002e-1,3.623e-1
ENSG00010000025,CXCL10,10.71,0.0337,0.1831,8.539e-1,9.619e-1
ENSG00010000026,MMP9,445.19,-0.4940,0.2120,1.977e-2,1.063e-1
ENSG00010000027,COL1A1,393.16,0.0384,0.3708,9.176e-1,9.768e-1
ENSG00010000028,ALB,2316.37,-0.1785,0.2787,5.219e-1,8.324e-1
ENSG00010000029,INS,9.06,0.0074,0.2435,9.757e-1,9.920e-1
ENSG00010000030,GENE0031,3261.66,2.8308,0.3178,1.000e-300,1.471e-299
ENSG00010000031,GENE0032,15.40,-0.4562,0.4336,2.927e-1,6.576e-1
ENSG00010000032,GENE0033,5.14,0.0777,0.1597,6.265e-1,8.813e-1
ENSG00010000033,GENE0034,28.81,0.3433,0.3584,3.382e-1,6.994e-1
ENSG00010000034,GENE0035,3864.52,-0.1844,0.2443,4.503e-1,7.861e-1
ENSG00010000035,GENE0036,12.52,0.0027,0.2154,9.901e-1,9.960e-1
ENSG00010000036,GENE0037,77.76,0.0347,0.2483,8.889e-1,9.673e-1
ENSG00010000037,GENE0038,48.75,-0.1668,0.1407,2.358e-1,5.857e-1
ENSG00010000038,GENE0039,282.41,-0.0937,0.2603,7.190e-1,9.228e-1
ENSG00010000039,GENE0040,38.56,-0.2483,0.1862,1.823e-1,5.040e-1
ENSG00010000040,GENE0041,19.07,0.0272,0.2033,8.936e-1,9.692e-1
ENSG00010000041,GENE0042,9.92,0.0801,0.1822,6.602e-1,8.931e-1
ENSG00010000042,GENE0043,16.75,-0.5049,0.2402,3.552e-2,1.697e-1
ENSG00010000043,GENE0044,2425.70,-0.0334,0.1202,7.812e-1,9.471e-1
ENSG00010000044,GENE0045,1581.95,0.0943,0.2965,7.504e-1,9.351e-1
ENSG00010000045,GENE0046,88.84,0.0644,0.2107,7.600e-1,9.392e-1
ENSG00010000046,GENE0047,16.49,0.0495,0.1268,6.964e-1,9.127e-1
ENSG00010000047,GENE0048,139.68,0.4190,0.2279,6.600e-2,2.754e-1
ENSG00010000048,GENE0049,6.40,0.3175,0.2114,1.331e-1,4.252e-1
ENSG00010000049,GENE0050,416.56,0.1474,0.3566,6.792e-1,9.055e-1
ENSG00010000050,GENE0051,324.97,-0.3334,0.2249,1.382e-1,4.355e-1
ENSG00010000051,GENE0052,52.89,-0.0426,0.1854,8.182e-1,9.507e-1
ENSG00010000052,GENE0053,42.78,-0.2458,0.2394,3.044e-1,6.660e-1
ENSG00010000053,GENE0054,1335.73,-0.0361,0.1759,8.372e-1,9.561e-1
ENSG00010000054,GENE0055,24.33,2.3082,0.1803,1.000e-300,1.471e-299
ENSG00010000055,GENE0056,1769.17,0.2394,0.0911,8.571e-3,5.205e-2
ENSG00010000056,GENE0057,24.49,0.4524,0.1206,1.751e-4,1.412e-3
ENSG00010000057,GENE0058,82.77,0.0527,0.1993,7.915e-1,9.477e-1
ENSG00010000058,GENE0059,943.77,-0.2423,0.3685,5.109e-1,8.271e-1
ENSG00010000059,GENE0060,96.77,-0.0271,0.2750,9.216e-1,9.783e-1
ENSG00010000060,GENE0061,40.11,0.1430,0.1577,3.643e-1,7.257e-1
ENSG00010000061,GENE0062,25.90,-0.2586,0.1835,1.586e-1,4.711e-1
ENSG00010000062,GENE0063,84.27,0.4621,0.2061,2.496e-2,1.267e-1
ENSG00010000063,GENE0064,2957.15,0.4141,0.1762,1.876e-2,1.021e-1
