source,method,id,description,direction,setSize,count,score,pvalue,padj,geneID
GO:BP,ORA,GOBP0001,"inflammatory response",down,195,42,2.002,1.830e-3,5.489e-3,GENE1375/GENE0891/GENE0798/GENE2185/GENE2408/GENE0624/GENE0870/GENE0802/GENE1902/GENE1436/GENE1204/GENE0824/HIF1A/GENE0626/GENE1420/GENE2677/GENE2873/GENE0945/GENE0356/GENE1866/GENE2796/GENE2513/GENE2234/GENE2344/GENE1347/GENE2235/GENE2515/GENE0762/GENE0340/GENE2674/GENE2943/GENE2603/GENE2871/GENE0556/GENE1565/GENE2985/GENE2110/GENE2456/GENE2568/GENE0187/GENE1231/GENE0283
GO:BP,ORA,GOBP0002,"cell cycle",up,275,17,2.476,2.293e-7,6.879e-7,GENE1174/GENE2484/GENE0466/GENE1660/GENE2820/GENE2197/GENE0285/GENE2546/GENE0373/GENE0220/GENE0882/GENE0066/GENE2680/GENE0056/GENE0774/GENE2341/GENE1502
GO:BP,ORA,GOBP0003,"apoptotic process",up,147,21,2.941,1.696e-3,5.088e-3,GENE0395/GENE1254/GENE0836/GENE1938/GENE2713/GENE2577/GENE0637/GENE1432/GENE0557/GENE1773/GENE2931/GENE1556/GENE1337/GENE0411/GENE1820/GENE0823/GENE1372/GENE1375/GENE0764/GENE0031/GENE0813
GO:BP,ORA,GOBP0004,"immune response",down,211,10,3.049,2.023e-5,6.070e-5,GENE1778/GENE2979/GENE0513/GENE1407/GENE2307/GENE2869/GENE1464/GENE0761/GENE2685/GENE0589
GO:BP,ORA,GOBP0005,"angiogenesis",up,208,45,2.747,3.689e-4,1.107e-3,GENE0715/GENE2253/GENE1652/GENE0220/GENE2185/GENE2680/GENE0482/GENE0340/GENE0208/GENE2804/GENE1372/GENE0673/GENE1923/GENE0652/GENE1782/GENE1408/GENE0333/GENE2761/GENE1995/GENE0735/GENE1024/GENE1939/GENE1163/GENE2563/GENE0326/GENE1944/GENE0707/GENE2193/GENE0589/GENE0371/GENE1643/GENE1133/GENE2677/GENE0770/GENE0894/GENE1420/GENE1080/GENE1818/GENE1433/GENE0824/CCND1/GENE0919/GENE0968/GENE1417/GENE2780
GO:BP,ORA,GOBP0006,"DNA repair",up,288,40,4.740,2.894e-7,8.683e-7,GENE0066/GENE2820/GENE1222/GENE2931/CCND1/GENE2873/GENE2310/GENE0771/GENE0571/GENE0803/GENE0353/GENE1935/GENE0401/GENE0899/GENE1167/GENE0612/GENE1533/GENE0854/GENE1353/GENE0190/GENE0698/GENE2930/GENE0199/GENE1531/GENE1771/GENE1393/GENE1163/GENE0894/GENE0249/GENE1392/GENE0909/GENE2516/GENE1352/GENE2804/GENE2484/GENE0774/GENE2033/GENE2563/GENE2718/GENE1004
GO:BP,ORA,GOBP0007,"T cell activation",down,210,29,4.030,2.973e-7,8.918e-7,GENE2853/GENE2185/GENE2563/GENE1657/GENE1375/GENE0673/GENE0923/GENE1368/GENE2607/GENE1795/GENE2344/GENE1530/GENE2233/GENE2690/GENE0665/GENE2375/GENE2779/GENE2577/GENE0831/GENE0031/GENE1436/GENE0988/GENE2467/GENE0055/GENE2578/GENE2581/GENE2299/GENE2860/GENE0464
GO:BP,ORA,GOBP0008,"response to hypoxia",up,274,42,3.061,1.204e-5,3.612e-5,GENE1104/GENE0684/GENE0753/GENE1412/GENE0194/GENE2233/GENE0070/GENE2038/GENE0953/GENE1248/GENE1944/GENE2235/GENE0404/GENE1010/GENE0217/GENE1477/GENE1288/GENE1451/GENE0642/GENE2177/GENE2899/GENE0092/GENE0699/GENE1638/GENE1644/GENE1024/GENE0975/GENE1374/GENE1081/GENE0831/GENE2897/GENE1881/GENE0395/GENE2617/GENE0889/GENE2388/GENE1759/GENE1170/GENE0153/GENE1739/GENE2435/GENE2964
GO:BP,ORA,GOBP0009,"cytokine production",up,190,41,1.535,9.761e-7,2.928e-6,GENE0771/GENE1421/GENE1786/GENE2754/GENE1167/GENE2193/GENE1859/GENE1350/GENE0753/GENE1583/GENE2127/GENE2964/GENE0571/GENE1565/GENE2860/GENE0612/GENE2619/GENE1243/GENE2298/GENE0550/GENE1375/GENE1480/GENE2170/GENE2690/GENE1010/GENE1288/GENE0118/GENE0653/GENE0187/GENE2824/GENE1212/GENE2461/GENE0824/GENE2581/GENE2722/GENE2457/GENE2562/GENE2899/GENE2018/GENE2729/GENE0195
GO:BP,ORA,GOBP0010,"extracellular matrix organization",down,167,10,2.874,2.484e-5,7.453e-5,GENE0394/GENE2970/GENE0824/GENE2622/GENE1723/GENE0942/GENE1510/GENE0555/GENE2233/GENE1171
KEGG,ORA,KEGG0011,"Cytokine-cytokine receptor interaction",down,90,18,2.493,9.999e-4,3.000e-3,GENE2612/GENE2560/GENE2960/GENE1672/GENE1424/GENE0378/GENE0670/GENE1357/GENE0794/GENE0889/GENE0208/GENE2014/GENE1782/GENE2703/GENE1058/GENE0106/GENE0070/GENE1172
KEGG,ORA,KEGG0012,"p53 signaling pathway",up,266,15,1.250,2.590e-4,7.771e-4,GENE0953/GENE1576/GENE0894/GENE2690/GENE1374/GENE0764/GENE1866/GENE2641/GENE2619/GENE2235/GENE2663/GENE1941/GENE2639/GENE0843/GENE2607
KEGG,ORA,KEGG0013,"Cell cycle",up,199,28,1.354,1.268e-2,3.803e-2,GENE2078/GENE1248/GENE0563/GENE0492/GENE0328/GENE2257/GENE2014/GENE2031/GENE1308/GENE1420/GENE0388/GENE2238/GENE1241/GENE1432/GENE2663/GENE1988/GENE1092/GENE1936/GENE0429/GENE1944/GENE1295/GENE1782/GENE0912/GENE0855/GENE0933/GENE0208/GENE1928/GENE1725
KEGG,ORA,KEGG0014,"PI3K-Akt signaling",down,79,24,3.802,3.462e-2,1.039e-1,GENE1196/GENE2031/GENE0106/GENE1938/GENE1747/GENE1665/GENE2577/GENE1786/GENE2227/GENE1256/GENE0194/GENE0394/GENE2110/GENE2062/GENE0217/GENE1800/GENE2899/GENE2869/GENE0843/GENE2143/GENE1795/GENE1672/GENE0367/GENE0549
KEGG,ORA,KEGG0015,"Apoptosis",up,175,12,1.957,9.387e-6,2.816e-5,GENE0770/GENE1560/GENE1080/GENE1441/GENE0466/GENE1421/GENE2553/GENE0665/GENE1902/GENE1424/GENE0395/GENE1083
KEGG,ORA,KEGG0016,"TNF signaling pathway",up,196,15,1.894,4.485e-6,1.346e-5,GENE0199/GENE0671/GENE2871/GENE1288/GENE2690/GENE1771/GENE2018/GENE1587/GENE2607/GENE1759/GENE2663/GENE1556/GENE1393/GENE1313/GENE0771
KEGG,ORA,KEGG0017,"JAK-STAT signaling",down,291,34,3.408,6.042e-8,1.813e-7,GENE0323/GENE2313/GENE2033/GENE1864/GENE0378/GENE1295/GENE1416/GENE1565/GENE2897/GENE1817/GENE1248/GENE0707/GENE0217/GENE1412/GENE2456/GENE2467/GENE1408/GENE0190/GENE2344/GENE0411/GENE2516/GENE1938/GENE2116/GENE1239/GENE0055/GENE0930/GENE0283/GENE0715/GENE0549/GENE1037/GENE0246/GENE0333/GENE1433/GENE1897
KEGG,ORA,KEGG0018,"HIF-1 signaling",up,190,30,4.715,4.716e-5,1.415e-4,GENE0066/GENE2456/GENE2116/GENE0279/GENE1502/GENE2779/GENE2435/GENE1223/GENE1464/GENE0322/GENE1902/GENE1818/GENE1170/GENE0592/GENE1232/GENE1288/GENE1083/GENE2562/GENE0933/GENE2127/GENE1080/GENE1248/GENE1993/GENE1765/GENE0365/GENE1576/GENE2363/GENE2931/GENE1657/GENE0798
Reactome,ORA,Reactome0019,"Interferon Signaling",down,279,31,2.258,5.868e-7,1.760e-6,GENE1456/GENE0699/GENE1877/GENE0612/GENE0066/GENE1375/GENE2985/GENE2313/GENE2822/GENE1321/GENE0803/GENE0194/GENE1556/GENE2193/GENE1766/GENE2515/GENE1652/GENE1340/GENE1473/GENE2143/GENE1155/GENE1015/GENE2591/GENE0975/GENE2680/GENE1725/GENE2778/GENE2488/GENE2849/GENE2581/GENE0774
Reactome,ORA,Reactome0020,"Cell Cycle Checkpoints",up,143,15,1.082,1.698e-5,5.093e-5,GENE1174/GENE2463/GENE2899/GENE1424/GENE2985/GENE2639/GENE1881/GENE2849/GENE1055/GENE2798/GENE0975/GENE1104/GENE2754/GENE1925/GENE0889
Reactome,ORA,Reactome0021,"Signaling by Interleukins",up,93,18,1.432,3.264e-6,9.792e-6,GENE0909/GENE0106/GENE1755/GENE0219/GENE2649/GENE1837/GENE0382/GENE0798/GENE2970/GENE0628/GENE0919/GENE1443/GENE0510/GENE0836/GENE0244/GENE1037/GENE2463/GENE0964
Reactome,ORA,Reactome0022,"Programmed Cell Death",down,223,24,2.274,1.114e-6,3.342e-6,GENE1213/GENE2488/GENE1062/GENE1091/GENE2633/GENE0547/GENE1731/GENE1456/GENE1950/GENE0373/GENE1866/GENE0842/GENE1965/GENE2127/GENE2253/GENE1644/GENE1361/GENE2376/GENE1473/GENE0734/GENE1881/GENE2594/GENE1587/GENE0670
Reactome,ORA,Reactome0023,"Extracellular matrix organization",up,203,21,1.854,8.460e-4,2.538e-3,GENE1690/GENE2822/GENE0842/GENE2018/GENE1351/GENE1859/GENE2538/GENE0613/GENE1573/GENE1604/GENE1957/GENE2488/GENE1510/GENE2463/GENE2313/GENE0118/GENE0328/GENE2026/GENE2715/GENE0115/GENE0153
