source,set_id,set_name,genes
GO:BP,GOBP0001,"inflammatory response",GENE1375/GENE0891/GENE0798/GENE2185/GENE2408/GENE0624/GENE0870/GENE0802/GENE1902/GENE1436/GENE1204/GENE0824/HIF1A/GENE0626/GENE1420/GENE2677/GENE2873/GENE0945/GENE0356/GENE1866/GENE2796/GENE2513/GENE2234/GENE2344/GENE1347/GENE2235/GENE2515/GENE0762/GENE0340/GENE2674/GENE2943/GENE2603/GENE2871/GENE0556/GENE1565/GENE2985/GENE2110/GENE2456/GENE2568/GENE0187/GENE1231/GENE0283/GENE1672/GENE1809/GENE0431/GENE1800/GENE2773/GENE2619/GENE0487/GENE0462/GENE2826/GENE2194/GENE1291/GENE0795/GENE0154/GENE0825/GENE1794/GENE0079/GENE2948/GENE2653/GENE0046/GENE2001/GENE0937/GENE2301/GENE2065/GENE2729/GENE2971/GENE2315/GENE0761/GENE1145/GENE0570/GENE2511/GENE1265/GENE2051/GENE1102/KRAS/GENE0939/GENE0675/GENE0384/GENE2311/GENE0668/GENE2259/GENE0369/GENE2357/GENE2350/GENE2762/GENE1442/GENE1246/GENE2011/GENE1688/GENE0696/GENE0738/GENE1746/GENE1014/GENE1697/GENE1567/GENE1618/GENE1661/GENE1747/GENE0320/GENE2799/GENE1267/GENE0523/GENE2760/GENE0118/GENE0146/GENE1730/GENE0315/GENE0717/GENE0811/GENE2574/GENE1646/GENE2059/GENE0745/GENE0429/GENE0329/GENE1729/GENE2914/GENE2024/TNF/GENE1154/GENE1984/GENE1594/GENE2745/GENE1481/GENE0543/GENE0814/GENE1868/GENE0062/GENE1001/GENE2652/GENE0915/GENE1992/GENE1321/GENE2503/GENE2909/GENE0618/GENE2480/GENE1080/GENE2615/GENE2629/GENE2575/GENE1663/GENE0177/GENE2795/GENE1640/GENE1317/GENE0775/GENE2868/GENE0261/GENE2404/GENE0677/GENE2116/GENE1088/GENE0420/GENE1971/GENE1647/GENE0218/GENE1692/GENE2327/GENE2221/GENE0671/GENE2443/GENE1209/GENE0275/GENE2000/GENE0705/GENE1564/GENE2450/GENE1383/GENE0517/GENE1421/GENE1928/GENE0606/GENE1207/GENE0968/GENE1249/GENE0816/GENE2224/GENE2679/GENE2951/GENE0243/GENE1082/GENE1366/GENE0794/GENE0856/INS/GENE1483/GENE2175/GENE0836/GENE1427/GENE1852/GENE1295/GENE1486/GENE0339
GO:BP,GOBP0002,"cell cycle",GENE1174/GENE2484/GENE0466/GENE1660/GENE2820/GENE2197/GENE0285/GENE2546/GENE0373/GENE0220/GENE0882/GENE0066/GENE2680/GENE0056/GENE0774/GENE2341/GENE1502/GENE2687/GENE1707/GENE0352/GENE2816/GENE1167/GENE1230/GENE0556/GENE0041/GENE0967/GENE2841/GENE1092/GENE0883/GENE1033/GENE1805/GENE0439/GENE0448/GENE0494/GENE1727/GENE2160/GENE1591/GENE2173/GENE0789/GENE2637/GENE2018/GENE1668/GENE2964/GENE0205/GENE2163/GENE0929/GENE1117/GENE1006/GENE1863/GENE2760/GENE1882/GENE1253/FOS/GENE1094/GENE2357/GENE0587/GENE0397/GENE0834/GENE0778/GENE1347/GENE2615/GENE1683/GENE2099/GENE0776/GENE0600/GENE1968/GENE2762/GENE0237/GENE2589/GENE2071/GENE2545/GENE2002/GENE1053/GENE1310/GENE0509/GENE2929/GENE1320/GENE0808/GENE1180/GENE0615/GENE2675/GENE1278/GENE1985/GENE1928/GENE0214/GENE0584/GENE0926/GENE2610/GENE1733/GENE0748/GENE0261/GENE0643/GENE0821/GENE2115/GENE1700/GENE2438/GENE2799/GENE0228/GENE0460/GENE1229/GENE1247/GENE0792/GENE0657/GENE2446/GENE1018/GENE0363/GENE2481/GENE1472/GENE1522/GENE1646/GENE2804/GENE2908/GENE1248/GENE0878/GENE2681/GENE2861/GENE2254/GENE1885/GENE0034/GENE0461/GENE0359/GENE2904/GENE1442/GENE1178/GENE2989/GENE0553/GENE1258/GENE0951/GENE1003/GENE2294/GENE1666/GENE1170/GENE2933/GENE0591/GENE2465/GENE0422/GENE1450/GENE2913/GENE0942/GENE2039/GENE0040/GENE0941/GENE2554/GENE0773/GENE0758/GENE1548/GENE0447/GENE1955/GENE2333/GENE2919/GENE2329/GENE0350/GENE2377/GENE1305/GENE0376/GENE1975/GENE2081/GENE1043/GENE0327/GENE2383/GENE0051/GENE1068/GENE2864/GENE0911/GENE0619/GENE1904/GENE2397/GENE0351/GENE2069/GENE0487/GENE2806/GENE1284/GENE2880/GENE1381/GENE2581/GENE1424/GENE2874/GENE0170/GENE2381/GENE1313/GENE0920/GENE2921/GENE2948/GENE0200/GENE0697/GENE0540/GENE2994/GENE2495/GENE1412/GENE1506/GENE1468/GENE1608/GENE0183/GENE1994/GENE2118/GENE1210/GENE0232/GENE1104/GENE2291/GENE2865/GENE1575/GENE0522/GENE0567/GENE0287/GENE1903/GENE2276/GENE2695/GENE1519/GENE0746/GENE1908/GENE0335/GENE2903/GENE1028/GENE2444/GENE0144/GENE1382/GENE1531/GENE0638/GENE1402/GENE1830/GENE2619/GENE0569/GENE0250/GENE2958/GENE2769/GENE1358/CDKN1A/GENE1503/GENE1893/GENE1469/GENE0172/GENE2373/GENE2092/GENE1558/GENE0925/GENE0664/GENE1179/GENE1294/GENE0360/GENE0142/GENE1925/GENE1151/GENE0856/GENE0913/GENE1915/GENE1403/GENE1766/GENE0430/GENE2457/GENE1773/GENE0078/GENE0371/GENE0278/GENE0862/GENE0059/GENE0254/GENE0510/GENE0393/GENE1735/GENE2206/GENE1682/GENE1867/GENE1121/GENE1474/GENE2103/GENE0332/GENE1956/GENE2119/GENE2945/GENE2897/GENE0230/GENE0634/GENE1782/GENE2207/GENE1740
GO:BP,GOBP0003,"apoptotic process",GENE0395/GENE1254/GENE0836/GENE1938/GENE2713/GENE2577/GENE0637/GENE1432/GENE0557/GENE1773/GENE2931/GENE1556/GENE1337/GENE0411/GENE1820/GENE0823/GENE1372/GENE1375/GENE0764/GENE0031/GENE0813/GENE0812/GENE0192/GENE1202/GENE0123/GENE0435/GENE2590/GENE2800/GENE0216/GENE0844/GENE0551/GENE1798/GENE1259/GENE0898/GENE2777/MYC/GENE2675/GENE2878/GENE1958/GENE0553/GENE2207/GENE0176/GENE0828/PTEN/GENE2734/GENE1197/GENE0246/GENE2447/GENE2536/GENE0386/GENE0542/GENE0710/GENE2716/GENE1046/GENE0560/GENE2201/GENE0291/GENE2873/GENE0348/GENE2454/GENE0128/GENE2456/GENE1473/GENE0549/ACTB/GENE0672/GENE2457/GENE0808/GENE1371/GENE2379/GENE2847/GENE1471/GENE0752/GENE1611/GENE0667/GENE0247/GENE1537/GENE1419/GENE2219/GENE2177/GENE1964/GENE1137/GENE0847/GENE2420/GENE1707/GENE2786/GENE2886/GENE0995/GENE2227/GENE0624/GENE0138/GENE0494/GENE0965/GENE0229/GENE2599/GENE1234/GENE1196/GENE0443/GENE0753/GENE0914/GENE2513/GENE0415/GENE0109/GENE2425/GENE2899/GENE2423/GENE1094/GENE2473/GENE1961/GENE0071/GENE2551/GENE1181/GENE2628/GENE2373/GENE0433/GENE0961/GENE2388/GENE1903/GENE2889/GENE2264/GENE0359/GENE1249/GENE2399/GENE2702/GENE0139/GENE1999/GENE0382/GENE0038/GENE0575/GENE0729/GENE1264/GENE2531/GENE0705/GENE1285/GENE0655/GENE0709/GENE1271/GENE2045/GENE1424/GENE1577/GENE1025/GENE1059/FOXP3/GENE0254/GENE2459/GENE2733/GENE0878
GO:BP,GOBP0004,"immune response",GENE1778/GENE2979/GENE0513/GENE1407/GENE2307/GENE2869/GENE1464/GENE0761/GENE2685/GENE0589/GENE1598/GENE0447/GENE0833/GENE0400/GENE2262/GENE2369/GENE0365/GENE1692/GENE0793/GENE0132/GENE2950/GENE2802/GENE0525/GENE2970/GENE2318/GENE2452/GENE1630/GENE2617/GENE0686/GENE1667/GENE2477/GENE1235/GENE1257/GENE2265/GENE1168/GENE1210/GENE0887/GENE2421/GENE0875/GENE1248/GENE2739/GENE2123/GENE2966/GENE1203/GENE0654/GENE2589/GENE2441/GENE0820/GENE2652/GENE1025/GENE1671/GENE1470/GENE2407/GENE2581/GENE2207/GENE0354/GENE0362/GENE0032/GENE0898/GENE0715/GENE1895/GENE1479/GENE1950/GENE0558/GENE2292/GENE0487/GENE0436/GENE0080/GENE0983/GENE1419/GENE0599/GENE0972/GENE1618/GENE1222/GENE1204/GENE1307/GENE2174/GENE2657/GENE1215/GENE1474/GENE0736/GENE2992/GENE0042/GENE2963/GENE0177/GENE1786/GENE2202/GENE2128/GENE1614/GENE0410/GENE0219/GENE1056/GENE0568/GENE1579/GENE1902/GENE1583/GENE0884/GENE1556/GENE2232/GENE1521/GENE2268/GENE2170/GENE2476/GENE2023/GENE0700/GENE1408/GENE2451/GENE0583/GENE1664/GENE2967/GENE1162/GENE0100/GENE2988/GENE1751/GENE2646/GENE1238/GENE2787/GENE2717/GENE0304/GENE0969/GENE0950/GENE2499/GENE2647/GENE2093/GENE2936/GENE1099/GENE1133/GENE0111/GENE2276/GENE0176/GENE0674/GENE1681/GENE2063/GENE0885/GENE1392/GENE2486/GENE2938/GENE2828/GENE2186/GENE0800/GENE2049/GENE0424/GENE1448/GENE1066/GENE1769/GENE2562/GENE0906/GENE2533/GENE1863/GENE2312/GENE0891/GENE2710/GENE2289/GENE0685/GENE0346/GENE0235/GENE2413/GENE2033/GENE2366/GENE1887/GENE1589/GENE1703/GENE2001/GENE0930/GENE0278/GENE1389/GENE2443/GENE0971/GENE0315/GENE0348/GENE1943/GENE1906/GENE2444/GENE0632/GENE1456/GENE1500/GENE2440/GENE1010/GENE0355/GENE1557/GENE2491/GENE2094/GENE2408/GENE0098/GENE1931/GENE1660/GENE1808/GENE0328/GENE1035/GENE0554/GENE1907/GENE0060/GENE1658/GENE2649/GENE3000/GENE2308/GENE1623/GENE0212/GENE0610/GENE0751/GENE0246/GENE1989/GENE1723/GENE1353/GENE1363/GENE2428/GENE1001/GENE1165/GENE1935/GENE2720/GENE2160
GO:BP,GOBP0005,"angiogenesis",GENE0715/GENE2253/GENE1652/GENE0220/GENE2185/GENE2680/GENE0482/GENE0340/GENE0208/GENE2804/GENE1372/GENE0673/GENE1923/GENE0652/GENE1782/GENE1408/GENE0333/GENE2761/GENE1995/GENE0735/GENE1024/GENE1939/GENE1163/GENE2563/GENE0326/GENE1944/GENE0707/GENE2193/GENE0589/GENE0371/GENE1643/GENE1133/GENE2677/GENE0770/GENE0894/GENE1420/GENE1080/GENE1818/GENE1433/GENE0824/CCND1/GENE0919/GENE0968/GENE1417/GENE2780/GENE1279/GENE1804/GENE2311/GENE0974/GENE1167/GENE0729/GENE0596/GENE0343/GENE2740/GENE2425/GENE0917/GENE2573/GENE2312/GENE1583/GENE1510/GENE1575/GENE2884/GENE0279/GENE0528/GAPDH/GENE0440/GENE0245/GENE2857/GENE1896/GENE0957/GENE1597/GENE2125/GENE2881/GENE1740/GENE2339/GENE2883/GENE0751/GENE2833/GENE0361/GENE0809/GENE1956/GENE0961/GENE2928/GENE2357/GENE1783/GENE2471/GENE1552/GENE1266/GENE1362/GENE1567/GENE0722/GENE1055/GENE2372/GENE1573/GENE0193/GENE2397/GENE0599/GENE1115/GENE1453/GENE1647/GENE0462/GENE0633/GENE2823/GENE0127/GENE2481/GENE2629/GENE2792/GENE2600/GENE0631/GENE2617/GENE1150/GENE2168/GENE1168/GENE1211/GENE1916/GENE0619/GENE2321/GENE2461/GENE0958/GENE1848/GENE0063/GENE2657/GENE0614/GENE2149/GENE0979/GENE2781/GENE2033/GENE1257/GENE2132/GENE0312/GENE1833/GENE1370/GENE2908/GENE0121/GENE1865/GENE0119/GENE0393/GENE2318/GENE1624/GENE2267/GENE1376/GENE2893/GENE2078/GENE0247/GENE0728/GENE2559/GENE0176/GENE2863/GENE1672/GENE1042/GENE2252/GENE2353/GENE2141/GENE0710/GENE0726/GENE2122/GENE0395/GENE2294/GENE1531/GENE0099/GENE2653/GENE2797/GENE1284/GENE1761/GENE1492/GENE2148/GENE2069/GENE1825/GENE0666/GENE0688/GENE0980/GENE1623/GENE0888/GENE1272/GENE0899/GENE0132/GENE0254/GENE2102/GENE2668/GENE1246/GENE2179/GENE0166/GENE2218/GENE1425/GENE0747/GENE2966/GENE2410/GENE2331/GENE2693/GENE0804/GENE1122/GENE1121/GENE2921/GENE1068/GENE0267/GENE0061/GENE1431/GENE1088/GENE0419/GENE1023/GENE0266/GENE1958/GENE1282/GENE2756/GENE2351/GENE2793/GENE2184/GENE0611
GO:BP,GOBP0006,"DNA repair",GENE0066/GENE2820/GENE1222/GENE2931/CCND1/GENE2873/GENE2310/GENE0771/GENE0571/GENE0803/GENE0353/GENE1935/GENE0401/GENE0899/GENE1167/GENE0612/GENE1533/GENE0854/GENE1353/GENE0190/GENE0698/GENE2930/GENE0199/GENE1531/GENE1771/GENE1393/GENE1163/GENE0894/GENE0249/GENE1392/GENE0909/GENE2516/GENE1352/GENE2804/GENE2484/GENE0774/GENE2033/GENE2563/GENE2718/GENE1004/GENE0984/GENE0672/GENE2594/GENE1145/GENE1417/GENE0735/GENE2847/GENE1621/GENE0873/GENE0055/GENE1620/GENE0547/GENE1558/GENE1684/GENE1161/GENE2765/GENE2579/GENE1488/GENE0215/GENE2140/GENE1833/GENE0209/GENE2462/GENE0490/GENE1660/GENE2163/CXCL10/GENE2094/GENE1288/GENE2575/GENE0781/GENE0918/GENE1749/GENE2779/GENE2749/GENE2964/GENE2940/GENE1356/GENE1502/GENE2213/GENE1674/GENE1512/GENE1193/GENE1105/GENE1425/GENE1422/GENE2693/GENE2465/GENE2216/GENE2546/GENE1169/GENE0269/GENE1057/KRAS/GENE2653/GENE0134/GENE2875/GENE1887/GENE1844/GENE2502/GENE1184/GENE1424/GENE2978/GENE2641/GENE0910/GENE1988/GENE1498/GENE2944/GENE2171/GENE2679/GENE2906/GENE0169/GENE2879/GENE0127/GENE1665/GENE1647/GENE1101/GENE2455/GENE1628/GENE1091/GENE2983/GENE2869/GENE2436/GENE0365/GENE2990/GENE0928/GENE1658/GENE1675/GENE0955/GENE1235/GENE2522/GENE2269/GENE2646/GENE2126/NFKB1/GENE2989/GENE1552/GENE1127/GENE1588/GENE0257/GENE2551/GENE0669/GENE2168/GENE0110/GENE0525/GENE0319/GENE2699/GENE1277/GENE1779/GENE2794/GENE1872/GENE2441/GENE1260/GENE0243/GENE2242/GENE1430/GENE1447/GENE2611/GENE2138/GENE1331/GENE2712/GENE0562/GENE1571/GENE0261/GENE2283/GENE2842/GENE0229/GENE0434/GENE1669/GENE0531/GENE1904/GENE0697/GENE0037/GENE1928/GENE0489/GENE2892/GENE1652/GENE2844/GENE0133/GENE0569/GENE2490/GENE2554/GENE2565/GENE2001/GENE2792/GENE1426/GENE2962/GENE1223/GENE0198/GENE1476/GENE1116/GENE2480/GENE2692/GENE2981/GENE1870/GENE0232/GENE1115/GENE0369/GENE1017/GENE0649/GENE2156/GENE0308/GENE1218/GENE2929/GENE1995/GENE0354/GENE1406/GENE0083/GENE0105/GENE1549/GENE2829/GENE0433/GENE0100/GENE1765/GENE2011/GENE0728/GENE0609/GENE2130/GENE0715/GENE0196/GENE0487/GENE1312/GENE2630/GENE2029/GENE2880/GENE0806/GENE0048/GENE0838/GENE1262/GENE2995/GENE2035/GENE2881/GENE1357/GENE1215/GENE2338/GENE1391/GENE0287/GENE0787/GENE2186/GENE0834/GENE2046/GENE2368/GENE0305/GENE2198/GENE0351/GENE2711/GENE2076/GENE2976/GENE1443/GENE2651/GENE2982/GENE2144/GENE2255/GENE2039/GENE1133/GENE0942/GENE0557/GENE2552/GENE0839/GENE0723/GENE0300/GENE0381/GENE2485/GENE1805/GENE0139/GENE0900/GENE0954/GENE0370/GENE1206/GENE2704/GENE1503/GENE0464/GENE0736/GENE0986/GENE2876/GENE0072/GENE0277/GENE1739/GENE2724/GENE1582/GENE1126/GENE1066/GENE1181/GENE1788/GENE2916/GENE2932/GENE1614/GENE0952
GO:BP,GOBP0007,"T cell activation",GENE2853/GENE2185/GENE2563/GENE1657/GENE1375/GENE0673/GENE0923/GENE1368/GENE2607/GENE1795/GENE2344/GENE1530/GENE2233/GENE2690/GENE0665/GENE2375/GENE2779/GENE2577/GENE0831/GENE0031/GENE1436/GENE0988/GENE2467/GENE0055/GENE2578/GENE2581/GENE2299/GENE2860/GENE0464/GENE0459/GENE2982/GENE0928/GENE0496/GENE1405/GENE1369/GENE2460/GENE2036/GENE0671/GENE0339/GENE2186/GENE0265/GENE0421/GENE1472/GENE1251/GENE0476/GENE0437/GENE0812/GENE1256/GENE0199/GENE1296/GENE2026/GENE2479/GENE1824/GENE1346/GENE2332/GENE1508/GENE2389/GENE2659/GENE2464/GENE1145/GENE2200/GENE0454/GENE2789/GENE2203/GENE1629/GENE0809/GENE1377/GENE1862/GENE2509/GENE2694/GENE0603/GENE2069/GENE1996/GENE0627/GENE0140/GENE1041/GENE1841/GENE0107/GENE0631/GENE1744/GENE2930/GENE2849/GENE2064/GENE2935/GENE0426/GENE1998/GENE0920/GENE1686/GENE2147/GENE1484/GENE0905/GENE2096/GENE1762/GENE0098/GENE1827/GENE1587/GENE1621/GENE0234/GENE1014/GENE2092/GENE2768/GENE2938/GENE2530/GENE0443/GENE0180/GENE2359/GENE1674/GENE2146/GENE1163/GENE0695/GAPDH/GENE0616/GENE1985/GENE2516/GENE1610/GENE1637/GENE2603/GENE0733/GENE1242/GENE0300/KRAS/GENE1419/GENE1655/GENE2955/GENE2490/GENE1509/GENE2104/GENE2475/GENE1200/GENE1122/GENE2224/GENE2978/GENE2738/GENE0879/GENE0811/GENE1820/GENE0518/GENE0762/GENE2875/GENE1978/GENE1920/GENE1273/GENE2330/GENE2305/GENE2448/GENE0519/GENE0756/GENE0242/GENE1838/GENE1012/GENE0279/GENE0346/GENE1627/GENE1218/GENE0480/GENE2257/GENE2140/GENE0063/GENE2410/GENE2408/GENE1515/GENE2637/GENE2871/GENE2087/GENE2564/GENE2059/GENE1533/GENE2927/GENE0970/GENE0342/GENE1305/GENE2711/GENE2342/GENE1800/GENE1194/GENE2485/GENE1703/GENE1764/GENE0354/GENE0832/GENE0610/GENE0764/GENE0638/GENE2635/GENE2304/GENE2041/GENE1759/GENE1480/GENE0336/GENE1829/GENE0724/GENE2814/GENE2074/GENE0422/GENE1151/GENE2851/GENE1149/GENE2268/GENE2312/GENE0525/GENE0993/GENE0935/GENE2713/GENE1945/GENE1641/GENE2119/GENE0425/GENE0378/GENE2132/GENE1210
GO:BP,GOBP0008,"response to hypoxia",GENE1104/GENE0684/GENE0753/GENE1412/GENE0194/GENE2233/GENE0070/GENE2038/GENE0953/GENE1248/GENE1944/GENE2235/GENE0404/GENE1010/GENE0217/GENE1477/GENE1288/GENE1451/GENE0642/GENE2177/GENE2899/GENE0092/GENE0699/GENE1638/GENE1644/GENE1024/GENE0975/GENE1374/GENE1081/GENE0831/GENE2897/GENE1881/GENE0395/GENE2617/GENE0889/GENE2388/GENE1759/GENE1170/GENE0153/GENE1739/GENE2435/GENE2964/GENE1730/GENE0997/GENE2580/CD8A/GENE2532/GENE2481/GENE0840/GENE0925/GENE0216/GENE0091/FOS/GENE1890/GENE2829/GENE2818/GENE0238/GENE0934/GENE1971/GENE2808/GENE2941/GENE1678/GENE0220/GENE0449/GENE1637/GENE1496/GENE2961/GENE1503/GENE2888/GENE2563/GENE1456/GENE1079/GENE1828/GENE1621/GENE1182/GENE1646/GENE1648/GENE2047/CXCL10/GENE2340/GENE2478/GENE0815/GENE2946/GENE1303/GENE0994/GENE1574/GENE1455/GENE1447/GENE1184/GENE0136/GENE2722/GENE0371/GENE2406/GENE2257/GENE1752/GENE0451/GENE2982/GENE1221/GENE0271/GENE1241/GENE0571/GENE0806/GENE2073/GENE1427/GENE1917/GENE0230/GENE0052/GENE1536/GENE2151/GENE0413/GENE2319/GENE0591/GENE2849/GENE2667/GENE1354/GENE0117/GENE1481/GENE0794/GENE1312/GENE0783/GENE1078/GENE1028/GENE2140/GENE2787/GENE2137/GENE0680/GENE2909/GENE0203/GENE2966/GENE0140/GENE0316/GENE0967/GENE1041/GENE1453/GENE0881/GENE2701/GENE0337/GENE0731/GENE2637/GENE1145/GENE1304/GENE1737/GENE0553/GENE2318/GENE0837/GENE1468/GENE0657/GENE1835/GENE0644/GENE2959/GENE1089/GENE2525/GENE0037/GENE1050/GENE2471/GENE0838/GENE2916/GENE0718/GENE0693/GENE2312/GENE1872/GENE0500/GENE0722/GENE1056/GENE2742/GENE0415/GENE0676/GENE1220/GENE0123/GENE1358/GENE0491/GENE2225/GENE1704/GENE2894/GENE1887/GENE1339/GENE1380/GENE0291/GENE0031/GENE1419/GENE2248/GENE2662/GENE1555/GENE2502/GENE2573/GENE1594/GENE1829/GENE2816/GENE1073/GENE2889/GENE2881/GENE0703/GENE2174/GENE1625/GENE0890/GENE2803/GENE1448/GENE2792/GENE2111/GENE2470/GENE0629/GENE2809/GENE2287/GENE0746/GENE1401/GENE1623/GENE1691/GENE0920/GENE2801/GENE0755/GENE1992/GENE1610/GENE1285/GENE1428/GENE2545/GENE1259/GENE2375/GENE0172/GENE0723/GENE1972/GENE1465/GENE1463/GENE2269/GENE2414/GENE2819/GENE1306/GENE1346/GENE2749/GENE2509/GENE0406/GENE2099/GENE0263/GENE0658/GENE1904/GENE1677/GENE2259/GENE0796/GENE2112/GENE1544/GENE0485/GENE2590/GENE1067/GENE2551/GENE0993/GENE1159/GENE1929/GENE1834/GENE1851/GENE0596/GENE0447/GENE2543/GENE2053/GENE2342/GENE2813/GENE1690/GENE2745/GENE2643/GENE0229/GENE2326/GENE0515/GENE2009/GENE1743/GENE0369/BAX/GENE0814/GENE0727/GENE1237/GENE0534/GENE2304/GENE0931/GENE2004/GENE2057/GENE2252/GENE0284
GO:BP,GOBP0009,"cytokine production",GENE0771/GENE1421/GENE1786/GENE2754/GENE1167/GENE2193/GENE1859/GENE1350/GENE0753/GENE1583/GENE2127/GENE2964/GENE0571/GENE1565/GENE2860/GENE0612/GENE2619/GENE1243/GENE2298/GENE0550/GENE1375/GENE1480/GENE2170/GENE2690/GENE1010/GENE1288/GENE0118/GENE0653/GENE0187/GENE2824/GENE1212/GENE2461/GENE0824/GENE2581/GENE2722/GENE2457/GENE2562/GENE2899/GENE2018/GENE2729/GENE0195/GENE0244/GENE2651/GENE0643/GENE0682/GENE0630/GENE2762/GENE2705/GENE1124/GENE1789/GENE2378/GENE0366/GENE0357/GENE2714/GENE1503/GENE2973/GENE0439/GENE0847/GENE0851/GENE1518/GENE1359/GENE1021/GENE2978/GENE2109/GENE1357/GENE0503/GENE1333/GENE1275/GENE0813/GENE2578/GENE0894/GENE2433/GENE1433/GENE0429/GENE2808/GENE0259/GENE1313/GENE2231/GENE2359/GENE1907/GENE2712/GENE1015/GENE2962/GENE2404/GENE0629/GENE0177/GENE0739/GENE1805/GENE1072/GENE1733/GENE1609/GENE2012/GENE0660/GENE0194/GENE2447/GENE2979/GENE2544/GENE1905/GENE2597/GENE0121/GENE2221/GENE2446/STAT1/GENE1336/GENE1056/GENE2351/GENE1628/GENE2864/GENE0809/GENE1825/GENE1002/GENE1043/GENE1809/GENE2658/GENE2968/GENE2777/GENE2934/GENE1761/GENE1945/GENE0236/GENE1622/GENE1557/GENE1014/GENE1700/GENE0183/GENE1984/GENE2157/GENE2214/GENE0695/GENE0633/GENE1406/GENE0548/GENE2069/GENE2577/GENE1951/GENE0387/GENE2434/GENE2495/GENE1233/GENE1152/GENE1018/GENE0190/GENE0256/GENE2326/GENE0476/GENE1299/GENE1732/GENE2622/GENE1264/GENE0872/GENE0976/GENE1314/GENE1240/GENE2349/GENE0356/GENE0502/GENE1222/GENE2222/GENE1601/GENE1271/GENE0733/GENE2036/GENE0515/GENE1729/GENE2897/GENE0422/GENE1038/GENE1473/VEGFA/GENE2819/GENE2418/GENE1734/GENE1413/GENE0598/GENE2511/GENE0875/GENE0518/GENE1338/GENE2713/GENE1914/GENE0348/GENE1544/GENE1846/GENE1192/MKI67/GENE1037/GENE2894/GENE0463/GENE1069/GENE2718
GO:BP,GOBP0010,"extracellular matrix organization",GENE0394/GENE2970/GENE0824/GENE2622/GENE1723/GENE0942/GENE1510/GENE0555/GENE2233/GENE1171/GENE1091/GENE0558/GENE1835/GENE2506/GENE2389/GENE0039/GENE1083/GENE1863/GENE1827/GENE1773/GENE0610/GENE2349/GENE2078/GENE1235/GENE1535/GENE1542/GENE0307/GENE1569/GENE1020/GENE0964/GENE1644/GENE1068/GENE0115/GENE0657/GENE1410/GENE1536/GENE1330/GENE1918/GENE0239/GENE2504/GENE1939/GENE1344/GENE0505/FOS/GENE2935/GENE0978/GENE2073/GENE0659/GENE2908/GENE2344/GENE1372/GENE1836/GENE2825/GENE0105/GENE2709/GENE0622/GENE1331/GENE2290/GENE1187/GENE1005/GENE1826/GENE2064/GENE2540/GENE0612/GENE0378/GENE1262/GENE0325/GENE2585/GENE1114/GENE0357/KRAS/GENE2879/GENE2161/GENE0680/GENE1888/GENE0488/GENE0708/GENE2725/GENE0487/GENE1776/GENE1180/GENE0788/BCL2/GENE1046/GENE2934/GENE1817/GENE0482/GENE2111/GENE0124/GENE2013/GENE0637/GENE2341/GENE2815/GENE0539/GENE1999/GENE0681/GENE2824/GENE0292/GENE2944/GENE1649/GENE2539/GENE0822/GENE0955/GENE2327/GENE0711/GENE0741/GENE1384/GENE0937/GENE1207/GENE0849/GENE1520/GENE2794/GENE2278/GENE0673/GENE1109/GENE1389/GENE1240/GENE1685/GENE2012/GENE2261/GENE0368/GENE2142/GENE0617/GENE0915/GENE2718/GENE1626/GENE1543/GENE1094/GENE0330/GENE1192/GENE2468/GENE2016/GENE2783/GENE2698/GENE1965/GENE2228/GENE0250/GENE1711/GENE1522/GENE1226/GENE2311/GENE1286/GENE1861/GENE0422/GENE0473/GENE0409/GENE2911/GENE0161/GENE0713/GENE0525/GENE1048/GENE0629/GENE2584/GENE2593/GENE2627/GENE0730/GENE2751/GENE1022/GENE0623/GENE2168/GENE1130/GENE1627/GENE0300/GENE1906/GENE2832/GENE2399/GENE2082
