gene_id,gene_name,WT_1,WT_2,WT_3,WT_4,KO_1,KO_2,KO_3,KO_4
ENSG00010000000,TP53,89.15,86.23,116.42,80.13,85.19,117.17,142.48,75.28
ENSG00010000001,MYC,195.00,126.07,180.57,213.11,149.62,93.43,136.93,138.95
ENSG00010000002,CD8A,117.94,148.38,114.66,84.86,127.61,154.42,130.94,117.10
ENSG00010000003,IL6,34.50,32.47,32.62,26.17,39.90,25.61,33.51,27.33
ENSG00010000004,STAT1,260.25,394.04,205.54,222.98,187.50,215.73,290.93,193.41
ENSG00010000005,FOXP3,6.92,6.58,5.73,4.41,4.77,5.81,7.07,8.15
ENSG00010000006,GAPDH,4.63,7.91,3.89,7.55,8.49,6.69,9.19,6.73
ENSG00010000007,ACTB,3.64,3.82,4.49,3.78,6.01,5.90,5.67,3.72
ENSG00010000008,VEGFA,1609.04,2080.44,584.40,1150.60,943.54,794.54,965.79,696.86
ENSG00010000009,EGFR,6.00,7.65,9.18,5.12,21.05,33.78,28.08,29.06
ENSG00010000010,BRCA1,355.89,244.22,381.06,313.01,277.72,294.55,342.57,392.69
ENSG00010000011,CDKN1A,1775.57,1388.07,2035.14,1559.77,2565.30,1735.22,1494.32,1360.70
ENSG00010000012,MKI67,28.28,26.27,23.31,24.41,34.18,34.13,22.84,19.27
ENSG00010000013,PTEN,441.90,523.06,379.35,493.67,376.65,306.62,400.76,641.84
ENSG00010000014,KRAS,92.49,67.92,70.72,72.30,72.61,114.41,97.63,85.10
ENSG00010000015,JUN,4.27,4.31,5.63,3.89,0.95,1.28,1.27,0.83
ENSG00010000016,FOS,2146.79,2140.46,1562.17,2677.42,1904.23,1896.03,2080.57,1569.35
ENSG00010000017,NFKB1,54.07,25.58,32.35,35.20,30.82,29.53,49.76,23.89
ENSG00010000018,CCND1,717.69,957.40,708.83,1211.68,1148.28,1459.57,1568.08,1623.54
ENSG00010000019,BAX,1125.88,2973.50,2512.53,2330.54,1836.70,3057.13,2256.59,2365.70
ENSG00010000020,BCL2,172.88,259.45,164.73,166.29,181.66,250.55,278.43,258.71
ENSG00010000021,SOD2,81.86,84.64,54.11,92.46,72.64,61.28,91.94,112.37
ENSG00010000022,HIF1A,1678.50,2283.25,1935.40,2503.07,1416.65,1620.58,1846.35,1401.01
ENSG00010000023,TNF,8.30,10.64,9.60,9.09,9.04,8.24,11.27,7.56
ENSG00010000024,IFNG,1565.18,2670.79,1434.74,1786.07,1156.47,1672.82,1593.51,1106.84
ENSG00010000025,CXCL10,7.80,10.72,9.97,14.13,8.86,11.52,10.79,11.92
ENSG00010000026,MMP9,391.59,541.82,670.31,484.33,427.17,336.26,422.42,287.63
ENSG00010000027,COL1A1,432.19,545.21,299.48,262.01,381.03,244.15,350.64,630.56
ENSG00010000028,ALB,2458.35,2423.86,2790.69,1980.05,3181.01,1374.21,2445.30,1877.48
ENSG00010000029,INS,11.80,6.33,9.24,8.71,8.49,9.36,6.29,12.29
ENSG00010000030,GENE0031,873.98,723.08,1229.39,490.20,5489.83,5922.75,4222.59,7141.44
ENSG00010000031,GENE0032,21.01,18.21,9.92,21.05,18.19,19.92,7.66,7.26
ENSG00010000032,GENE0033,5.31,4.80,3.98,5.75,6.17,6.24,4.90,3.98
ENSG00010000033,GENE0034,20.38,20.55,36.02,21.94,51.94,18.21,33.76,27.67
ENSG00010000034,GENE0035,2861.43,5073.33,4764.40,3799.03,2641.74,3649.04,3652.13,4475.06
ENSG00010000035,GENE0036,13.73,9.32,16.22,10.90,13.23,9.13,15.01,12.61
ENSG00010000036,GENE0037,87.90,94.74,52.16,73.53,87.55,79.07,55.56,91.57
ENSG00010000037,GENE0038,56.43,41.89,57.63,50.63,51.70,39.71,41.38,50.63
ENSG00010000038,GENE0039,474.39,256.21,258.54,205.99,274.59,247.72,265.71,276.11
ENSG00010000039,GENE0040,44.68,46.51,36.39,38.98,32.96,26.75,34.52,47.68
ENSG00010000040,GENE0041,20.77,15.92,19.48,18.43,16.18,28.21,15.63,17.93
ENSG00010000041,GENE0042,9.28,10.24,11.01,7.71,8.03,13.84,9.23,10.01
ENSG00010000042,GENE0043,26.08,21.74,16.07,15.41,10.74,14.15,11.28,18.49
ENSG00010000043,GENE0044,2276.29,2178.25,3020.14,2369.13,2330.51,2613.51,2163.15,2454.62
ENSG00010000044,GENE0045,1099.40,1478.35,1263.96,2343.04,1246.52,1310.33,1991.74,1922.26
ENSG00010000045,GENE0046,78.07,74.51,90.40,101.45,103.67,87.25,112.69,62.64
ENSG00010000046,GENE0047,15.66,14.88,16.37,17.58,18.86,16.93,13.00,18.64
ENSG00010000047,GENE0048,155.08,139.70,84.75,103.12,195.68,143.27,137.97,157.88
ENSG00010000048,GENE0049,6.03,7.53,4.31,4.54,5.73,5.96,8.81,8.26
ENSG00010000049,GENE0050,241.09,463.00,560.37,323.21,365.10,678.08,350.38,351.23
ENSG00010000050,GENE0051,298.79,319.71,443.87,380.52,340.78,194.99,330.75,290.38
ENSG00010000051,GENE0052,39.89,54.88,55.08,65.52,59.97,41.13,51.67,54.98
ENSG00010000052,GENE0053,63.17,43.67,42.63,36.35,33.92,53.67,38.38,30.43
ENSG00010000053,GENE0054,974.72,1647.91,1397.41,1427.71,1273.12,1457.35,1156.03,1351.61
ENSG00010000054,GENE0055,7.35,8.21,9.56,5.27,37.17,46.64,36.64,43.77
ENSG00010000055,GENE0056,1871.50,1478.99,1502.67,1647.41,1861.12,1918.57,1787.52,2085.60
ENSG00010000056,GENE0057,20.48,22.39,18.74,20.16,28.58,25.24,25.19,35.17
ENSG00010000057,GENE0058,102.98,61.80,72.95,88.50,74.64,90.72,100.63,69.94
ENSG00010000058,GENE0059,784.40,785.93,722.29,1946.61,996.13,857.03,615.08,842.66
ENSG00010000059,GENE0060,75.84,99.11,83.03,130.54,120.03,74.33,69.44,121.83
ENSG00010000060,GENE0061,40.83,43.56,35.81,31.79,38.59,50.82,34.18,45.35
ENSG00010000061,GENE0062,28.73,35.12,19.90,30.29,19.75,25.11,24.12,24.19
ENSG00010000062,GENE0063,57.23,88.82,58.70,78.84,76.83,93.77,97.78,122.20
ENSG00010000063,GENE0064,2585.35,2896.82,2988.18,1779.83,3636.11,3275.80,3243.44,3251.67
ENSG00010000064,GENE0065,149.91,114.24,127.73,170.05,171.47,109.16,128.76,167.46
ENSG00010000065,GENE0066,59.84,46.70,49.96,70.33,9.94,11.67,11.68,15.44
ENSG00010000066,GENE0067,6.73,5.34,11.30,9.12,5.14,7.74,7.82,9.62
ENSG00010000067,GENE0068,841.66,633.72,910.51,1388.57,786.23,1222.16,1123.86,1436.85
ENSG00010000068,GENE0069,11.05,10.49,11.29,14.00,15.30,16.96,13.00,12.89
ENSG00010000069,GENE0070,27.03,39.39,23.65,27.26,109.70,139.67,113.61,169.91
ENSG00010000070,GENE0071,4282.13,2487.95,3866.73,4991.84,3094.93,1860.53,2796.04,3324.38
ENSG00010000071,GENE0072,29.98,24.21,22.61,34.87,20.93,32.28,27.73,39.53
ENSG00010000072,GENE0073,3826.13,1481.37,2870.97,3533.59,2320.62,3710.01,2363.13,4071.40
ENSG00010000073,GENE0074,1544.38,1972.84,1754.89,2706.65,1547.11,1492.41,1174.13,1511.89
ENSG00010000074,GENE0075,1663.62,988.70,804.34,1486.26,820.97,1028.68,1048.98,1168.67
ENSG00010000075,GENE0076,209.83,182.00,188.47,205.66,207.02,146.97,118.33,152.10
ENSG00010000076,GENE0077,3330.31,4134.98,4086.98,3788.88,2875.38,4181.35,5021.76,3243.49
ENSG00010000077,GENE0078,251.14,379.83,248.41,259.00,315.59,385.65,294.69,203.38
ENSG00010000078,GENE0079,1194.45,1411.93,2133.39,2442.02,1411.92,1942.21,2641.69,2601.05
ENSG00010000079,GENE0080,27.95,33.15,60.87,31.99,52.23,52.43,33.22,36.42
ENSG00010000080,GENE0081,1058.51,2181.65,1474.11,1471.97,2710.49,1910.30,970.07,1233.25
ENSG00010000081,GENE0082,2827.62,3289.87,3465.92,3008.10,2942.86,3174.21,3196.38,2545.61
ENSG00010000082,GENE0083,742.03,767.74,635.55,870.88,862.07,1036.68,1018.36,759.69
ENSG00010000083,GENE0084,1384.97,1940.55,990.65,1756.84,1136.39,1009.75,1294.64,1120.60
ENSG00010000084,GENE0085,10.13,6.39,8.09,4.89,11.66,8.12,7.08,6.85
ENSG00010000085,GENE0086,58.60,106.30,90.27,77.61,61.35,111.39,86.03,111.38
ENSG00010000086,GENE0087,194.47,140.88,174.08,174.39,230.03,206.75,126.35,175.12
ENSG00010000087,GENE0088,6.08,17.06,14.51,9.67,1.75,1.38,1.19,1.04
ENSG00010000088,GENE0089,408.85,355.50,379.99,331.59,376.43,540.84,488.27,371.28
ENSG00010000089,GENE0090,739.99,424.93,383.29,229.15,382.40,535.44,542.71,606.83
ENSG00010000090,GENE0091,2490.51,1470.23,3498.36,1632.39,2593.06,2419.25,2819.65,1703.79
ENSG00010000091,GENE0092,354.15,246.24,395.24,307.91,87.33,96.98,67.51,52.21
ENSG00010000092,GENE0093,30.78,18.45,24.05,30.46,25.70,23.84,26.75,14.90
ENSG00010000093,GENE0094,291.21,244.94,330.51,246.42,343.73,237.08,287.66,196.79
ENSG00010000094,GENE0095,2296.94,2276.64,1767.90,2165.27,2186.62,1707.09,2891.09,3023.22
ENSG00010000095,GENE0096,34.34,46.40,39.92,44.02,11.36,21.77,11.39,20.67
ENSG00010000096,GENE0097,360.21,251.97,315.89,400.01,253.11,194.45,203.11,230.98
ENSG00010000097,GENE0098,7.42,4.22,3.67,5.32,4.16,5.67,4.84,5.82
ENSG00010000098,GENE0099,23.80,16.26,16.68,14.86,11.96,12.68,16.48,15.53
ENSG00010000099,GENE0100,7.15,6.88,6.04,7.52,5.94,7.22,9.35,8.94
ENSG00010000100,GENE0101,1092.78,1256.46,1147.70,880.70,1177.12,804.33,939.03,933.41
ENSG00010000101,GENE0102,12.39,9.12,17.93,12.16,6.05,6.99,11.61,11.08
ENSG00010000102,GENE0103,824.90,1084.41,794.78,931.34,1189.27,668.36,1620.97,773.46
ENSG00010000103,GENE0104,271.84,198.34,266.07,267.66,365.14,345.50,249.04,255.11
ENSG00010000104,GENE0105,152.19,187.73,105.91,141.64,133.15,136.84,185.86,134.36
ENSG00010000105,GENE0106,230.31,244.16,347.43,209.16,170.49,193.90,191.38,146.39
ENSG00010000106,GENE0107,412.44,549.20,595.54,537.32,589.85,509.48,717.37,556.14
ENSG00010000107,GENE0108,94.61,78.86,108.30,136.33,75.25,64.60,113.18,118.04
ENSG00010000108,GENE0109,19.36,10.53,11.91,16.61,22.09,15.39,13.79,13.50
ENSG00010000109,GENE0110,4062.11,3402.20,2488.10,4534.09,3810.71,3712.08,3294.57,3585.42
ENSG00010000110,GENE0111,345.50,320.02,289.80,248.78,460.87,294.72,198.80,269.91
ENSG00010000111,GENE0112,5494.57,2688.61,2825.93,2773.03,3255.06,3745.79,3899.82,2694.69
ENSG00010000112,GENE0113,112.60,116.88,154.90,101.63,108.28,120.91,127.30,143.65
ENSG00010000113,GENE0114,13.21,16.99,22.27,29.80,23.88,17.99,31.68,20.36
ENSG00010000114,GENE0115,40.30,60.94,52.86,52.10,42.51,35.51,33.35,28.31
ENSG00010000115,GENE0116,9.65,3.66,5.48,5.49,5.81,8.27,4.42,6.06
ENSG00010000116,GENE0117,655.45,926.45,566.60,1531.47,857.41,669.43,961.99,718.73
ENSG00010000117,GENE0118,240.93,222.88,200.67,189.35,830.13,784.56,1146.87,728.01
ENSG00010000118,GENE0119,156.51,96.18,155.97,193.49,115.73,86.50,152.69,79.24
ENSG00010000119,GENE0120,482.81,742.21,482.20,715.83,146.29,97.55,107.57,157.38
ENSG00010000120,GENE0121,49.53,55.64,73.11,115.97,48.29,42.81,60.51,53.86
ENSG00010000121,GENE0122,455.30,202.24,226.23,199.18,307.92,317.29,228.42,266.18
ENSG00010000122,GENE0123,272.45,163.54,180.68,181.40,55.45,56.88,63.40,30.44
ENSG00010000123,GENE0124,975.31,580.77,793.36,821.98,703.51,545.88,697.61,636.28
ENSG00010000124,GENE0125,1988.27,3074.55,2501.70,2824.73,2732.68,2723.01,2664.56,3469.66
ENSG00010000125,GENE0126,2132.52,1903.80,1574.63,2549.56,478.51,353.71,442.96,474.82
ENSG00010000126,GENE0127,370.10,304.14,534.16,488.72,371.36,325.53,429.99,328.17
ENSG00010000127,GENE0128,390.32,513.37,290.29,439.27,475.68,384.54,380.28,470.93
ENSG00010000128,GENE0129,1636.79,992.60,1764.64,725.55,1409.23,1588.30,1034.58,1423.19
ENSG00010000129,GENE0130,6.03,6.46,5.19,8.65,8.66,6.42,7.89,5.62
ENSG00010000130,GENE0131,1719.73,1327.84,1670.18,1239.16,1277.35,1104.44,2431.72,2616.51
ENSG00010000131,GENE0132,1567.75,1179.81,1345.61,1328.05,1906.94,1127.11,1770.28,1151.28
ENSG00010000132,GENE0133,23.59,20.65,27.74,18.63,26.16,24.89,16.30,23.99
ENSG00010000133,GENE0134,10.97,5.97,11.01,4.25,6.83,3.32,5.31,5.48
ENSG00010000134,GENE0135,51.40,35.21,86.06,68.03,60.30,44.22,64.53,48.92
ENSG00010000135,GENE0136,1430.12,1149.08,838.57,858.28,1272.98,1022.89,970.76,1560.47
ENSG00010000136,GENE0137,1677.88,2110.00,1698.62,1505.80,1199.38,1767.39,2172.53,1725.14
ENSG00010000137,GENE0138,110.08,95.57,87.09,172.01,115.41,127.64,127.58,88.69
ENSG00010000138,GENE0139,24.05,34.81,32.94,42.24,74.16,33.79,34.46,36.22
ENSG00010000139,GENE0140,11.33,14.36,12.53,10.80,12.87,11.71,19.30,15.03
ENSG00010000140,GENE0141,1220.17,1063.32,967.57,671.96,906.11,776.28,848.82,904.77
ENSG00010000141,GENE0142,49.65,64.04,72.58,45.09,43.52,61.87,52.07,47.35
ENSG00010000142,GENE0143,14.74,11.16,12.08,10.36,11.98,21.23,11.09,15.77
ENSG00010000143,GENE0144,200.27,135.86,225.27,240.59,191.33,183.98,179.92,178.46
ENSG00010000144,GENE0145,2.86,4.72,5.17,4.87,5.36,6.35,6.21,4.12
ENSG00010000145,GENE0146,5.34,4.61,3.59,2.78,5.34,2.49,3.92,3.10
ENSG00010000146,GENE0147,555.55,656.74,600.05,623.80,1380.13,1405.34,914.53,946.43
ENSG00010000147,GENE0148,1513.45,1592.14,889.54,1665.06,1641.77,985.96,1248.70,1281.32
ENSG00010000148,GENE0149,358.56,600.99,419.09,474.61,205.63,290.51,340.58,396.29
ENSG00010000149,GENE0150,1336.37,1007.16,1117.00,1652.23,1333.82,1332.44,1350.69,1514.72
ENSG00010000150,GENE0151,69.66,55.93,64.10,59.31,51.74,75.78,98.43,79.65
ENSG00010000151,GENE0152,480.55,735.94,633.48,430.53,434.70,512.97,438.31,319.89
ENSG00010000152,GENE0153,3930.71,3380.15,3394.31,2707.28,2373.62,3012.04,2292.13,2211.97
ENSG00010000153,GENE0154,344.30,275.58,297.06,290.36,342.59,333.15,529.30,225.31
ENSG00010000154,GENE0155,43.44,66.63,40.12,49.92,37.36,37.79,37.64,38.05
ENSG00010000155,GENE0156,20.25,28.22,19.48,16.43,10.53,18.03,20.63,14.82
ENSG00010000156,GENE0157,128.02,124.26,149.02,184.15,96.08,115.60,145.48,125.86
ENSG00010000157,GENE0158,237.58,146.61,200.51,218.35,213.78,351.03,266.61,201.00
ENSG00010000158,GENE0159,19.47,30.96,15.90,18.93,23.24,20.44,19.70,16.33
ENSG00010000159,GENE0160,63.00,77.87,66.28,121.29,46.10,74.84,60.90,36.35
ENSG00010000160,GENE0161,235.48,381.15,250.80,288.04,260.85,361.86,307.72,272.60
ENSG00010000161,GENE0162,73.95,93.16,98.56,92.66,86.53,82.43,101.99,59.03
ENSG00010000162,GENE0163,332.84,409.09,333.72,374.18,368.87,561.67,358.06,370.53
ENSG00010000163,GENE0164,895.55,1752.63,1460.85,1374.83,1520.19,1062.64,1627.96,1495.55
ENSG00010000164,GENE0165,304.72,358.59,543.73,247.99,225.82,223.30,225.26,276.95
ENSG00010000165,GENE0166,12.62,15.95,16.17,16.19,15.54,16.90,12.86,21.30
ENSG00010000166,GENE0167,39.70,37.12,30.23,56.79,65.67,32.07,44.97,39.36
ENSG00010000167,GENE0168,20.07,23.85,27.52,38.73,18.75,23.93,27.11,26.19
ENSG00010000168,GENE0169,12.12,10.74,9.70,8.69,12.99,9.47,7.85,12.30
ENSG00010000169,GENE0170,451.32,247.48,269.97,199.94,290.42,224.66,331.93,348.80
ENSG00010000170,GENE0171,89.91,104.60,83.68,87.17,88.78,179.76,50.29,81.79
ENSG00010000171,GENE0172,21.23,31.21,40.88,68.53,42.99,24.00,38.61,38.92
ENSG00010000172,GENE0173,102.94,90.50,65.31,93.05,64.39,80.41,70.27,82.98
ENSG00010000173,GENE0174,1345.29,679.98,1066.80,741.20,671.17,791.20,586.44,526.55
ENSG00010000174,GENE0175,10.24,11.04,12.19,12.19,17.94,9.38,11.73,10.27
ENSG00010000175,GENE0176,4.04,5.80,5.47,5.95,5.57,8.59,4.89,3.25
ENSG00010000176,GENE0177,130.07,200.70,188.65,85.49,151.73,159.09,191.57,173.16
ENSG00010000177,GENE0178,382.16,513.11,601.78,411.59,568.85,394.06,389.04,480.12
ENSG00010000178,GENE0179,9.30,7.90,5.09,10.18,8.66,11.07,10.68,7.63
ENSG00010000179,GENE0180,552.40,352.23,587.03,362.71,465.01,559.09,354.11,560.46
ENSG00010000180,GENE0181,48.75,63.91,80.22,55.15,48.61,56.50,26.62,40.71
ENSG00010000181,GENE0182,2193.58,1601.89,1380.82,1688.48,1473.13,1299.09,2316.57,1282.77
ENSG00010000182,GENE0183,109.05,152.85,99.15,243.93,113.43,156.22,111.32,102.50
ENSG00010000183,GENE0184,4172.97,4388.40,4927.02,3193.55,4485.45,2970.03,3853.90,3233.41
ENSG00010000184,GENE0185,13.51,9.42,12.17,12.32,6.34,6.04,5.08,4.29
ENSG00010000185,GENE0186,719.52,872.01,728.50,624.84,612.42,643.06,758.00,672.53
ENSG00010000186,GENE0187,4062.97,3556.41,2720.04,3264.30,4566.46,4328.34,3788.82,4934.33
ENSG00010000187,GENE0188,735.50,768.86,989.14,663.95,633.68,840.45,756.28,1017.82
ENSG00010000188,GENE0189,10.82,9.03,5.11,7.73,7.65,11.84,7.69,7.44
ENSG00010000189,GENE0190,3276.18,5462.37,3718.81,3204.52,434.58,334.10,483.21,480.34
ENSG00010000190,GENE0191,8.45,8.20,5.62,5.97,4.56,6.98,7.24,8.50
ENSG00010000191,GENE0192,1759.47,1234.76,927.72,1159.01,1599.81,2215.84,1515.22,1463.91
ENSG00010000192,GENE0193,97.30,77.22,58.73,92.26,50.07,80.38,78.08,75.64
ENSG00010000193,GENE0194,45.76,57.46,55.51,53.94,16.92,22.45,13.44,14.06
ENSG00010000194,GENE0195,4714.05,2886.01,1834.00,3014.76,12095.72,14667.92,12987.98,7270.96
ENSG00010000195,GENE0196,18.71,13.66,15.71,11.74,9.83,17.07,13.52,12.40
ENSG00010000196,GENE0197,1521.71,2556.93,1594.73,1873.53,2166.17,1351.68,1083.45,1352.67
ENSG00010000197,GENE0198,129.52,102.01,243.85,67.17,132.85,138.91,150.35,154.11
ENSG00010000198,GENE0199,1578.58,1455.45,1154.76,1251.08,11343.06,10071.51,13948.70,16247.52
ENSG00010000199,GENE0200,8.68,8.86,12.20,10.01,15.12,18.60,10.77,11.49
ENSG00010000200,GENE0201,253.71,256.71,319.16,491.47,342.49,213.06,213.68,274.83
ENSG00010000201,GENE0202,1589.01,930.08,1039.97,811.27,1271.32,1244.03,1323.84,1561.87
ENSG00010000202,GENE0203,207.33,119.95,172.35,167.85,135.43,170.71,148.75,210.04
ENSG00010000203,GENE0204,1306.69,1737.94,3023.03,2850.63,1765.55,2932.63,1849.84,2812.06
ENSG00010000204,GENE0205,7.00,7.00,4.19,6.38,5.27,6.78,6.32,5.78
ENSG00010000205,GENE0206,38.03,36.57,42.01,46.19,27.30,40.16,38.83,36.20
ENSG00010000206,GENE0207,7.85,8.64,14.41,9.43,8.84,12.83,9.05,12.05
ENSG00010000207,GENE0208,295.88,395.93,425.22,314.02,1203.71,1708.86,2058.57,1676.88
ENSG00010000208,GENE0209,292.73,229.17,285.87,237.73,216.91,229.49,320.88,236.65
ENSG00010000209,GENE0210,175.47,252.29,341.87,231.68,310.62,436.25,226.11,413.80
ENSG00010000210,GENE0211,75.40,72.41,79.39,94.54,101.93,124.56,83.79,75.61
ENSG00010000211,GENE0212,22.84,23.93,23.54,23.71,22.46,23.91,22.05,19.39
ENSG00010000212,GENE0213,116.99,101.26,75.12,63.41,71.89,85.76,60.66,95.40
ENSG00010000213,GENE0214,606.99,709.51,561.12,604.70,468.27,444.87,689.02,582.91
ENSG00010000214,GENE0215,320.47,392.87,258.49,406.45,373.97,279.84,494.00,272.05
ENSG00010000215,GENE0216,883.28,845.67,1141.97,1178.52,1327.86,720.50,818.34,778.38
ENSG00010000216,GENE0217,61.91,58.12,45.89,56.94,80.68,60.96,75.22,89.08
ENSG00010000217,GENE0218,66.12,75.59,67.32,98.17,72.07,80.39,72.50,95.55
ENSG00010000218,GENE0219,117.84,88.27,133.89,110.30,595.61,461.73,321.71,256.54
ENSG00010000219,GENE0220,1111.31,891.38,915.52,1064.79,860.91,770.72,803.29,765.02
ENSG00010000220,GENE0221,3139.13,3286.19,3708.94,3750.60,3309.92,3267.07,4575.72,3989.95
ENSG00010000221,GENE0222,109.10,83.56,139.04,126.64,129.32,82.58,93.14,63.01
ENSG00010000222,GENE0223,15.82,30.91,19.44,32.24,30.74,29.25,21.60,34.86
ENSG00010000223,GENE0224,10.74,13.06,8.37,9.92,12.72,9.86,10.31,16.30
ENSG00010000224,GENE0225,6.85,7.44,6.53,6.76,4.98,5.63,6.47,7.91
ENSG00010000225,GENE0226,34.27,39.84,41.06,36.56,29.92,49.09,35.63,39.92
ENSG00010000226,GENE0227,844.39,487.63,918.63,1591.72,836.13,1397.13,935.32,999.98
ENSG00010000227,GENE0228,134.64,133.50,140.89,71.10,79.13,138.29,93.65,112.77
ENSG00010000228,GENE0229,28.78,24.92,29.41,18.14,18.56,25.99,23.32,29.58
ENSG00010000229,GENE0230,626.66,527.99,726.21,505.51,461.05,408.83,574.14,507.23
ENSG00010000230,GENE0231,981.15,859.99,1437.55,778.01,486.58,610.31,1320.18,819.55
ENSG00010000231,GENE0232,2175.44,2580.58,2402.63,2780.13,2310.57,2542.32,1622.49,1599.61
ENSG00010000232,GENE0233,1628.83,1159.97,1537.65,1741.30,1417.34,1365.25,1563.93,2483.05
ENSG00010000233,GENE0234,5.62,3.95,4.77,2.95,4.97,5.07,4.63,7.94
ENSG00010000234,GENE0235,16.47,20.20,27.69,14.38,21.99,22.43,25.41,25.70
ENSG00010000235,GENE0236,124.24,161.31,97.31,126.50,111.53,56.69,102.32,123.92
ENSG00010000236,GENE0237,44.93,23.08,30.10,29.66,26.18,33.82,24.78,32.79
ENSG00010000237,GENE0238,7.28,3.25,5.89,5.47,4.88,5.17,5.21,6.35
ENSG00010000238,GENE0239,111.72,149.61,137.17,114.61,88.61,81.15,141.46,87.43
ENSG00010000239,GENE0240,18.79,28.45,20.27,32.50,25.51,19.75,18.25,39.65
ENSG00010000240,GENE0241,366.20,282.91,304.19,371.07,252.54,505.97,381.74,375.22
ENSG00010000241,GENE0242,2471.58,3663.10,3632.17,3414.20,3438.06,3365.39,5632.30,4027.76
ENSG00010000242,GENE0243,525.98,774.75,397.68,673.13,534.03,714.82,490.68,742.01
ENSG00010000243,GENE0244,1530.67,1007.05,1582.13,1194.51,267.02,321.27,208.70,331.53
ENSG00010000244,GENE0245,54.63,68.45,61.99,62.23,49.94,55.10,81.16,64.86
ENSG00010000245,GENE0246,44.72,22.78,35.52,48.85,358.94,176.01,309.46,301.23
ENSG00010000246,GENE0247,269.05,127.78,146.62,151.10,157.53,299.02,252.66,137.35
ENSG00010000247,GENE0248,19.39,26.73,22.29,37.99,30.71,35.08,27.26,23.05
ENSG00010000248,GENE0249,19.06,20.02,16.11,24.26,23.58,28.57,30.74,28.76
ENSG00010000249,GENE0250,1883.54,1083.96,2225.81,1846.44,1922.96,1605.01,1905.92,1715.48
ENSG00010000250,GENE0251,1148.11,808.53,823.90,777.00,675.65,601.36,644.71,806.81
ENSG00010000251,GENE0252,369.40,229.84,285.87,188.62,185.00,320.26,255.87,171.04
ENSG00010000252,GENE0253,88.22,144.40,127.67,123.08,101.46,132.09,147.28,77.57
ENSG00010000253,GENE0254,1406.97,888.79,722.33,854.07,1236.78,2292.38,990.49,1455.49
ENSG00010000254,GENE0255,15.95,11.32,13.32,14.64,17.69,17.74,19.33,12.12
ENSG00010000255,GENE0256,439.91,843.81,905.49,716.67,801.87,699.03,964.74,795.35
ENSG00010000256,GENE0257,7.70,5.90,6.27,4.95,4.24,4.98,5.18,6.51
ENSG00010000257,GENE0258,290.28,302.50,274.43,288.96,305.45,441.81,384.35,234.59
ENSG00010000258,GENE0259,3059.53,3963.41,2949.96,3247.74,2917.86,3920.16,3577.55,3977.03
ENSG00010000259,GENE0260,1136.24,1146.83,885.98,1176.82,959.47,2017.53,1131.66,1198.04
ENSG00010000260,GENE0261,25.48,13.75,21.56,21.11,23.63,19.42,13.86,21.45
ENSG00010000261,GENE0262,32.72,49.29,20.91,19.69,47.21,26.92,29.91,38.00
ENSG00010000262,GENE0263,4391.68,2153.35,3395.90,3502.05,3281.31,3944.04,3138.73,2624.00
ENSG00010000263,GENE0264,715.88,526.33,640.13,336.40,626.23,472.56,372.06,579.71
ENSG00010000264,GENE0265,6.03,4.98,5.10,7.55,6.41,4.74,4.38,4.27
ENSG00010000265,GENE0266,3336.72,4503.06,2772.27,3300.51,3456.66,2459.35,4003.03,4016.07
ENSG00010000266,GENE0267,25.73,20.92,19.18,23.13,18.13,31.00,31.55,40.55
ENSG00010000267,GENE0268,206.62,142.05,91.49,115.07,131.18,171.31,157.54,129.72
ENSG00010000268,GENE0269,586.04,561.66,1015.58,778.92,890.43,817.89,822.85,564.30
ENSG00010000269,GENE0270,1110.48,1949.71,2215.97,1205.57,1764.44,1774.81,1343.18,1649.75
ENSG00010000270,GENE0271,264.10,193.51,170.21,195.10,261.41,155.88,120.30,185.88
ENSG00010000271,GENE0272,498.78,742.38,645.63,1039.84,778.35,553.68,684.80,717.40
ENSG00010000272,GENE0273,1009.97,901.38,616.16,780.04,873.48,960.87,1408.19,917.24
ENSG00010000273,GENE0274,12.96,17.91,15.81,18.24,19.92,11.08,17.79,12.08
ENSG00010000274,GENE0275,37.64,32.57,29.56,37.63,35.03,30.16,46.99,31.84
ENSG00010000275,GENE0276,51.79,49.66,40.22,59.01,37.10,42.65,25.95,45.83
ENSG00010000276,GENE0277,723.70,627.60,495.39,467.22,435.78,540.75,557.61,355.81
ENSG00010000277,GENE0278,609.67,565.74,669.28,702.27,786.88,506.35,417.73,636.41
ENSG00010000278,GENE0279,14.34,13.75,19.05,16.26,18.89,25.51,28.37,22.50
ENSG00010000279,GENE0280,913.64,2271.95,1682.82,1165.10,1660.89,1235.78,934.48,1597.71
